sigma,month,b,cr
0,4,2,2.464516129032258
0,4,4,2.095698924731183
0,4,8,1.89247311827957
0,4,16,1.8161290322580645
0,4,32,1.8064516129032258
0,4,64,1.8064516129032258
0,4,128,1.8064516129032258
2,4,1,3.1946236559139787
2,4,2,2.503225806451613
2,4,4,2.1086021505376342
2,4,8,1.8978494623655915
2,4,16,1.8268817204301075
2,4,32,1.8258064516129033
2,4,64,1.835483870967742
2,4,128,1.835483870967742
5,4,1,3.118279569892473
5,4,2,2.6193548387096772
5,4,4,2.327956989247312
5,4,8,2.372043010752688
5,4,16,2.5946236559139786
5,4,32,2.8193548387096774
5,4,64,2.975268817204301
5,4,128,3.086021505376344
10,4,1,3.149462365591398
10,4,2,2.7129032258064516
10,4,4,2.767741935483871
10,4,8,2.996774193548387
10,4,16,3.1032258064516127
10,4,32,3.1451612903225805
10,4,64,3.088172043010753
10,4,128,3.1591397849462366
15,4,1,3.150537634408602
15,4,2,2.8129032258064517
15,4,4,2.923655913978495
15,4,8,3.0451612903225804
15,4,16,3.181720430107527
15,4,32,3.1440860215053763
15,4,64,3.1043010752688174
15,4,128,3.1268817204301076
20,4,1,3.1440860215053763
20,4,2,2.881720430107527
20,4,4,2.936559139784946
20,4,8,3.1021505376344085
20,4,16,3.1913978494623656
20,4,32,3.1139784946236557
20,4,64,3.160215053763441
20,4,128,3.170967741935484
0,4,1,3.178494623655914
0,4,2,2.466666666666667
0,4,4,2.1225806451612903
0,4,8,1.8903225806451613
0,4,16,1.8172043010752688
0,4,32,1.8064516129032258
0,4,64,1.8064516129032258
0,4,128,1.8064516129032258
2,4,1,3.132258064516129
2,4,2,2.50752688172043
2,4,4,2.0946236559139786
2,4,8,1.8838709677419354
2,4,16,1.8301075268817204
2,4,32,1.8333333333333333
2,4,64,1.8301075268817204
2,4,128,1.8376344086021505
5,4,1,3.150537634408602
5,4,2,2.589247311827957
5,4,4,2.3236559139784947
5,4,8,2.411827956989247
5,4,16,2.596774193548387
5,4,32,2.8021505376344087
5,4,64,3.024731182795699
5,4,128,3.1161290322580646
10,4,1,3.1150537634408604
10,4,2,2.7344086021505376
10,4,4,2.7344086021505376
10,4,8,3.0
10,4,16,3.0827956989247314
10,4,32,3.170967741935484
10,4,64,3.1150537634408604
10,4,128,3.1258064516129034
15,4,1,3.118279569892473
15,4,2,2.8225806451612905
15,4,4,2.8956989247311826
15,4,8,3.086021505376344
15,4,16,3.10752688172043
15,4,32,3.08494623655914
15,4,64,3.21505376344086
15,4,128,3.150537634408602
20,4,1,3.129032258064516
20,4,2,2.8946236559139784
20,4,4,2.9376344086021504
20,4,8,3.078494623655914
20,4,16,3.1139784946236557
20,4,32,3.1516129032258067
20,4,64,3.141935483870968
20,4,128,3.1301075268817202
0,4,1,3.1408602150537632
0,4,2,2.5064516129032257
0,4,4,2.1150537634408604
0,4,8,1.889247311827957
0,4,16,1.810752688172043
0,4,32,1.8064516129032258
0,4,64,1.8064516129032258
0,4,128,1.8064516129032258
2,4,1,3.164516129032258
2,4,2,2.5172043010752687
2,4,4,2.1161290322580646
2,4,8,1.9
2,4,16,1.8258064516129033
2,4,32,1.8301075268817204
2,4,64,1.8376344086021505
2,4,128,1.846236559139785
5,4,1,3.1516129032258067
5,4,2,2.5591397849462365
5,4,4,2.3311827956989246
5,4,8,2.4075268817204303
5,4,16,2.5978494623655912
5,4,32,2.789247311827957
5,4,64,3.010752688172043
5,4,128,3.0720430107526884
10,4,1,3.1258064516129034
10,4,2,2.778494623655914
10,4,4,2.774193548387097
10,4,8,2.986021505376344
10,4,16,3.1268817204301076
10,4,32,3.1268817204301076
10,4,64,3.160215053763441
10,4,128,3.195698924731183
15,4,1,3.1365591397849464
15,4,2,2.8161290322580643
15,4,4,2.9172043010752686
15,4,8,3.1
15,4,16,3.163440860215054
15,4,32,3.175268817204301
15,4,64,3.1021505376344085
15,4,128,3.1333333333333333
20,4,1,3.121505376344086
20,4,2,2.8451612903225807
20,4,4,2.953763440860215
20,4,8,3.089247311827957
20,4,16,3.1763440860215053
20,4,32,3.1591397849462366
20,4,64,3.174193548387097
20,4,128,3.152688172043011
0,4,1,3.2021505376344086
0,4,2,2.4612903225806453
0,4,4,2.1021505376344085
0,4,8,1.9086021505376345
0,4,16,1.8129032258064517
0,4,32,1.8064516129032258
0,4,64,1.8064516129032258
0,4,128,1.8064516129032258
2,4,1,3.149462365591398
2,4,2,2.4623655913978495
2,4,4,2.1086021505376342
2,4,8,1.9064516129032258
2,4,16,1.8333333333333333
2,4,32,1.8408602150537634
2,4,64,1.8333333333333333
2,4,128,1.8376344086021505
5,4,1,3.2021505376344086
5,4,2,2.6032258064516127
5,4,4,2.325806451612903
5,4,8,2.382795698924731
5,4,16,2.621505376344086
5,4,32,2.8225806451612905
5,4,64,3.0623655913978496
5,4,128,3.0387096774193547
10,4,1,3.1440860215053763
10,4,2,2.718279569892473
10,4,4,2.7451612903225806
10,4,8,2.944086021505376
10,4,16,3.095698924731183
10,4,32,3.1258064516129034
10,4,64,3.1698924731182796
10,4,128,3.118279569892473
15,4,1,3.1376344086021506
15,4,2,2.8419354838709676
15,4,4,2.9053763440860214
15,4,8,3.10752688172043
15,4,16,3.150537634408602
15,4,32,3.1591397849462366
15,4,64,3.164516129032258
15,4,128,3.1365591397849464
20,4,1,3.1516129032258067
20,4,2,2.8881720430107527
20,4,4,2.912903225806452
20,4,8,3.1451612903225805
20,4,16,3.2010752688172044
20,4,32,3.1354838709677417
20,4,64,3.1881720430107525
20,4,128,3.164516129032258
0,4,1,3.1666666666666665
0,4,2,2.5021505376344084
0,4,4,2.1053763440860216
0,4,8,1.8903225806451613
0,4,16,1.813978494623656
0,4,32,1.8064516129032258
0,4,64,1.8064516129032258
0,4,128,1.8064516129032258
2,4,1,3.1440860215053763
2,4,2,2.5172043010752687
2,4,4,2.1021505376344085
2,4,8,1.89247311827957
2,4,16,1.8258064516129033
2,4,32,1.832258064516129
2,4,64,1.8376344086021505
2,4,128,1.8365591397849463
5,4,1,3.1333333333333333
5,4,2,2.5505376344086024
5,4,4,2.379569892473118
5,4,8,2.3946236559139784
5,4,16,2.5709677419354837
5,4,32,2.8537634408602153
5,4,64,3.0064516129032257
5,4,128,3.074193548387097
10,4,1,3.1333333333333333
10,4,2,2.7225806451612904
10,4,4,2.7516129032258063
10,4,8,2.89247311827957
10,4,16,3.1053763440860216
10,4,32,3.132258064516129
10,4,64,3.1376344086021506
10,4,128,3.129032258064516
15,4,1,3.149462365591398
15,4,2,2.81505376344086
15,4,4,2.904301075268817
15,4,8,3.024731182795699
15,4,16,3.172043010752688
15,4,32,3.121505376344086
15,4,64,3.1440860215053763
15,4,128,3.089247311827957
20,4,1,3.2096774193548385
20,4,2,2.839784946236559
20,4,4,2.996774193548387
20,4,8,3.0795698924731183
20,4,16,3.153763440860215
20,4,32,3.1548387096774193
20,4,64,3.1698924731182796
20,4,128,3.1623655913978497
0,4,1,3.1451612903225805
0,4,2,2.4978494623655916
0,4,4,2.106451612903226
0,4,8,1.903225806451613
0,4,16,1.813978494623656
0,4,32,1.8064516129032258
0,4,64,1.8064516129032258
0,4,128,1.8064516129032258
2,4,1,3.139784946236559
2,4,2,2.4741935483870967
2,4,4,2.096774193548387
2,4,8,1.9086021505376345
2,4,16,1.8258064516129033
2,4,32,1.8301075268817204
2,4,64,1.8387096774193548
2,4,128,1.8365591397849463
5,4,1,3.120430107526882
5,4,2,2.60752688172043
5,4,4,2.3698924731182798
5,4,8,2.3860215053763443
5,4,16,2.638709677419355
5,4,32,2.8946236559139784
5,4,64,2.9838709677419355
5,4,128,3.1139784946236557
10,4,1,3.1473118279569894
10,4,2,2.7204301075268815
10,4,4,2.735483870967742
10,4,8,2.9763440860215056
10,4,16,3.1053763440860216
10,4,32,3.1881720430107525
10,4,64,3.1236559139784945
10,4,128,3.164516129032258
15,4,1,3.08494623655914
15,4,2,2.8516129032258064
15,4,4,2.8731182795698924
15,4,8,3.0935483870967744
15,4,16,3.1354838709677417
15,4,32,3.1655913978494623
15,4,64,3.1193548387096772
15,4,128,3.1806451612903226
20,4,1,3.160215053763441
20,4,2,2.8236559139784947
20,4,4,2.953763440860215
20,4,8,3.1021505376344085
20,4,16,3.1655913978494623
20,4,32,3.1408602150537632
20,4,64,3.153763440860215
20,4,128,3.1053763440860216
0,4,1,3.2
0,4,2,2.468817204301075
0,4,4,2.109677419354839
0,4,8,1.889247311827957
0,4,16,1.8118279569892473
0,4,32,1.8064516129032258
0,4,64,1.8064516129032258
0,4,128,1.8064516129032258
2,4,1,3.1301075268817202
2,4,2,2.510752688172043
2,4,4,2.1139784946236557
2,4,8,1.8989247311827957
2,4,16,1.8290322580645162
2,4,32,1.8225806451612903
2,4,64,1.843010752688172
2,4,128,1.843010752688172
5,4,1,3.1333333333333333
5,4,2,2.564516129032258
5,4,4,2.329032258064516
5,4,8,2.3591397849462368
5,4,16,2.5978494623655912
5,4,32,2.824731182795699
5,4,64,3.0172043010752687
5,4,128,3.1010752688172043
10,4,1,3.1408602150537632
10,4,2,2.750537634408602
10,4,4,2.7408602150537633
10,4,8,2.9623655913978495
10,4,16,3.1086021505376342
10,4,32,3.1440860215053763
10,4,64,3.1247311827956987
10,4,128,3.1795698924731184
15,4,1,3.150537634408602
15,4,2,2.80752688172043
15,4,4,2.923655913978495
15,4,8,3.0623655913978496
15,4,16,3.138709677419355
15,4,32,3.1333333333333333
15,4,64,3.174193548387097
15,4,128,3.149462365591398
20,4,1,3.1483870967741936
20,4,2,2.835483870967742
20,4,4,2.9301075268817205
20,4,8,3.131182795698925
20,4,16,3.156989247311828
20,4,32,3.0827956989247314
20,4,64,3.196774193548387
20,4,128,3.1623655913978497
0,4,1,3.1193548387096772
0,4,2,2.479569892473118
0,4,4,2.095698924731183
0,4,8,1.8956989247311828
0,4,16,1.813978494623656
0,4,32,1.8064516129032258
0,4,64,1.8064516129032258
0,4,128,1.8064516129032258
2,4,1,3.141935483870968
2,4,2,2.4838709677419355
2,4,4,2.1053763440860216
2,4,8,1.8978494623655915
2,4,16,1.8301075268817204
2,4,32,1.832258064516129
2,4,64,1.8333333333333333
2,4,128,1.853763440860215
5,4,1,3.150537634408602
5,4,2,2.629032258064516
5,4,4,2.3236559139784947
5,4,8,2.361290322580645
5,4,16,2.6666666666666665
5,4,32,2.8655913978494625
5,4,64,2.9698924731182794
5,4,128,3.066666666666667
10,4,1,3.1580645161290324
10,4,2,2.727956989247312
10,4,4,2.770967741935484
10,4,8,2.97741935483871
10,4,16,3.1462365591397847
10,4,32,3.149462365591398
10,4,64,3.1666666666666665
10,4,128,3.1978494623655913
15,4,1,3.141935483870968
15,4,2,2.8118279569892475
15,4,4,2.889247311827957
15,4,8,3.0913978494623655
15,4,16,3.143010752688172
15,4,32,3.1408602150537632
15,4,64,3.1440860215053763
15,4,128,3.139784946236559
20,4,1,3.161290322580645
20,4,2,2.879569892473118
20,4,4,2.945161290322581
20,4,8,3.0795698924731183
20,4,16,3.1268817204301076
20,4,32,3.178494623655914
20,4,64,3.132258064516129
20,4,128,3.117204301075269
0,4,1,3.139784946236559
0,4,2,2.458064516129032
0,4,4,2.086021505376344
0,4,8,1.8978494623655915
0,4,16,1.8193548387096774
0,4,32,1.8064516129032258
0,4,64,1.8064516129032258
0,4,128,1.8064516129032258
2,4,1,3.139784946236559
2,4,2,2.479569892473118
2,4,4,2.1021505376344085
2,4,8,1.8870967741935485
2,4,16,1.8333333333333333
2,4,32,1.8268817204301075
2,4,64,1.843010752688172
2,4,128,1.8419354838709678
5,4,1,3.1258064516129034
5,4,2,2.5935483870967744
5,4,4,2.368817204301075
5,4,8,2.3881720430107527
5,4,16,2.6043010752688174
5,4,32,2.8731182795698924
5,4,64,2.970967741935484
5,4,128,3.0731182795698926
10,4,1,3.1193548387096772
10,4,2,2.7870967741935484
10,4,4,2.774193548387097
10,4,8,2.968817204301075
10,4,16,3.1408602150537632
10,4,32,3.1354838709677417
10,4,64,3.1161290322580646
10,4,128,3.20752688172043
15,4,1,3.1795698924731184
15,4,2,2.8193548387096774
15,4,4,2.901075268817204
15,4,8,3.0709677419354837
15,4,16,3.1591397849462366
15,4,32,3.143010752688172
15,4,64,3.1516129032258067
15,4,128,3.1731182795698927
20,4,1,3.1655913978494623
20,4,2,2.8978494623655915
20,4,4,2.967741935483871
20,4,8,3.106451612903226
20,4,16,3.1698924731182796
20,4,32,3.218279569892473
20,4,64,3.195698924731183
20,4,128,3.1408602150537632
0,4,1,3.138709677419355
0,4,2,2.4827956989247313
0,4,4,2.1
0,4,8,1.9
0,4,16,1.8193548387096774
0,4,32,1.8064516129032258
0,4,64,1.8064516129032258
0,4,128,1.8064516129032258
2,4,1,3.1139784946236557
2,4,2,2.47741935483871
2,4,4,2.0924731182795697
2,4,8,1.89247311827957
2,4,16,1.8279569892473118
2,4,32,1.8408602150537634
2,4,64,1.8397849462365592
2,4,128,1.8387096774193548
5,4,1,3.1591397849462366
5,4,2,2.627956989247312
5,4,4,2.3752688172043013
5,4,8,2.3634408602150536
5,4,16,2.6150537634408604
5,4,32,2.8268817204301073
5,4,64,3.00752688172043
5,4,128,3.089247311827957
10,4,1,3.178494623655914
10,4,2,2.774193548387097
10,4,4,2.7698924731182797
10,4,8,2.9419354838709677
10,4,16,3.066666666666667
10,4,32,3.1548387096774193
10,4,64,3.1408602150537632
10,4,128,3.161290322580645
15,4,1,3.163440860215054
15,4,2,2.861290322580645
15,4,4,2.9290322580645163
15,4,8,3.0387096774193547
15,4,16,3.1010752688172043
15,4,32,3.150537634408602
15,4,64,3.1247311827956987
15,4,128,3.138709677419355
20,4,1,3.118279569892473
20,4,2,2.893548387096774
20,4,4,2.933333333333333
20,4,8,3.129032258064516
20,4,16,3.153763440860215
20,4,32,3.161290322580645
20,4,64,3.1870967741935483
20,4,128,3.1698924731182796
0,4,1,3.1236559139784945
0,4,2,2.4720430107526883
0,4,4,2.0806451612903225
0,4,8,1.8913978494623656
0,4,16,1.813978494623656
0,4,32,1.8064516129032258
0,4,64,1.8064516129032258
0,4,128,1.8064516129032258
2,4,1,3.131182795698925
2,4,2,2.501075268817204
2,4,4,2.1053763440860216
2,4,8,1.8903225806451613
2,4,16,1.835483870967742
2,4,32,1.8258064516129033
2,4,64,1.8365591397849463
2,4,128,1.8580645161290323
5,4,1,3.1913978494623656
5,4,2,2.58494623655914
5,4,4,2.3344086021505377
5,4,8,2.401075268817204
5,4,16,2.574193548387097
5,4,32,2.8698924731182798
5,4,64,2.988172043010753
5,4,128,3.1451612903225805
10,4,1,3.132258064516129
10,4,2,2.7698924731182797
10,4,4,2.7376344086021507
10,4,8,2.990322580645161
10,4,16,3.078494623655914
10,4,32,3.156989247311828
10,4,64,3.138709677419355
10,4,128,3.1301075268817202
15,4,1,3.0935483870967744
15,4,2,2.8483870967741933
15,4,4,2.9516129032258065
15,4,8,3.074193548387097
15,4,16,3.131182795698925
15,4,32,3.1150537634408604
15,4,64,3.1365591397849464
15,4,128,3.1698924731182796
20,4,1,3.1161290322580646
20,4,2,2.858064516129032
20,4,4,2.9172043010752686
20,4,8,3.0913978494623655
20,4,16,3.164516129032258
20,4,32,3.1559139784946235
20,4,64,3.1354838709677417
20,4,128,3.08494623655914
0,4,1,3.1698924731182796
0,4,2,2.5043010752688173
0,4,4,2.1118279569892473
0,4,8,1.8956989247311828
0,4,16,1.8075268817204302
0,4,32,1.8064516129032258
0,4,64,1.8064516129032258
0,4,128,1.8064516129032258
2,4,1,3.143010752688172
2,4,2,2.4913978494623654
2,4,4,2.0978494623655912
2,4,8,1.8935483870967742
2,4,16,1.8236559139784947
2,4,32,1.8301075268817204
2,4,64,1.8301075268817204
2,4,128,1.8387096774193548
5,4,1,3.1559139784946235
5,4,2,2.617204301075269
5,4,4,2.3311827956989246
5,4,8,2.3956989247311826
5,4,16,2.5580645161290323
5,4,32,2.835483870967742
5,4,64,3.009677419354839
5,4,128,3.07741935483871
10,4,1,3.2021505376344086
10,4,2,2.796774193548387
10,4,4,2.7086021505376343
10,4,8,2.933333333333333
10,4,16,3.1258064516129034
10,4,32,3.1838709677419357
10,4,64,3.121505376344086
10,4,128,3.1301075268817202
15,4,1,3.1623655913978497
15,4,2,2.782795698924731
15,4,4,2.9731182795698925
15,4,8,3.089247311827957
15,4,16,3.1462365591397847
15,4,32,3.1376344086021506
15,4,64,3.0946236559139786
15,4,128,3.121505376344086
20,4,1,3.1451612903225805
20,4,2,2.913978494623656
20,4,4,2.933333333333333
20,4,8,3.106451612903226
20,4,16,3.18494623655914
20,4,32,3.1580645161290324
20,4,64,3.1451612903225805
20,4,128,3.1913978494623656
0,5,1,3.0879689521345406
0,5,2,2.476067270375162
0,5,4,2.097024579560155
0,5,8,1.8732212160413972
0,5,16,1.7917205692108666
0,5,32,1.7813712807244502
0,5,64,1.7813712807244502
0,5,128,1.7813712807244502
2,5,1,3.0802069857697285
2,5,2,2.4915912031047864
2,5,4,2.071151358344114
2,5,8,1.8809831824062095
2,5,16,1.8072445019404917
2,5,32,1.8085381630012936
2,5,64,1.8007761966364813
2,5,128,1.8111254851228977
5,5,1,3.1940491591203104
5,5,2,2.54980595084088
5,5,4,2.3298835705045278
5,5,8,2.3661060802069858
5,5,16,2.5523932729624836
5,5,32,2.8072445019404917
5,5,64,3.0181112548512288
5,5,128,3.07503234152652
10,5,1,3.1630012936610608
10,5,2,2.758085381630013
10,5,4,2.715394566623545
10,5,8,2.9184993531694694
10,5,16,3.1164294954721865
10,5,32,3.2069857697283313
10,5,64,3.182406209573092
10,5,128,3.214747736093144
15,5,1,3.1591203104786545
15,5,2,2.8641655886157826
15,5,4,2.831824062095731
15,5,8,3.0866752910737385
15,5,16,3.111254851228978
15,5,32,3.1552393272962482
15,5,64,3.1241914618369986
15,5,128,3.1410090556274257
20,5,1,3.144890038809832
20,5,2,2.8952134540750323
20,5,4,2.8809831824062098
20,5,8,3.109961190168176
20,5,16,3.184993531694696
20,5,32,3.164294954721863
20,5,64,3.205692108667529
20,5,128,3.130659767141009
0,5,1,3.147477360931436
0,5,2,2.513583441138422
0,5,4,2.0879689521345406
0,5,8,1.870633893919793
0,5,16,1.7917205692108666
0,5,32,1.7813712807244502
0,5,64,1.7813712807244502
0,5,128,1.7813712807244502
2,5,1,3.128072445019405
2,5,2,2.464424320827943
2,5,4,2.1164294954721865
2,5,8,1.8952134540750323
2,5,16,1.796895213454075
2,5,32,1.8098318240620956
2,5,64,1.8072445019404917
2,5,128,1.8201811125485123
5,5,1,3.186287192755498
5,5,2,2.5976714100905562
5,5,4,2.3285899094437257
5,5,8,2.3234152652005173
5,5,16,2.536869340232859
5,5,32,2.813712807244502
5,5,64,3.0530401034928847
5,5,128,3.0672703751617076
10,5,1,3.15006468305304
10,5,2,2.772315653298836
10,5,4,2.6972833117723156
10,5,8,2.96248382923674
10,5,16,3.142302716688228
10,5,32,3.178525226390686
10,5,64,3.10608020698577
10,5,128,3.2069857697283313
15,5,1,3.166882276843467
15,5,2,2.8641655886157826
15,5,4,2.9159120310478657
15,5,8,3.058214747736093
15,5,16,3.14359637774903
15,5,32,3.1267787839586028
15,5,64,3.1836998706338937
15,5,128,3.184993531694696
20,5,1,3.2121604139715396
20,5,2,2.871927554980595
20,5,4,2.9831824062095733
20,5,8,3.0840879689521343
20,5,16,3.1914618369987062
20,5,32,3.1267787839586028
20,5,64,3.179818887451488
20,5,128,3.142302716688228
0,5,1,3.1552393272962482
0,5,2,2.521345407503234
0,5,4,2.1047865459249677
0,5,8,1.869340232858991
0,5,16,1.7904269081500648
0,5,32,1.7813712807244502
0,5,64,1.7813712807244502
0,5,128,1.7813712807244502
2,5,1,3.164294954721863
2,5,2,2.4902975420439843
2,5,4,2.1034928848641656
2,5,8,1.8758085381630012
2,5,16,1.8072445019404917
2,5,32,1.798188874514877
2,5,64,1.8085381630012936
2,5,128,1.813712807244502
5,5,1,3.1371280724450195
5,5,2,2.571798188874515
5,5,4,2.336351875808538
5,5,8,2.357050452781371
5,5,16,2.5666235446313066
5,5,32,2.8253557567917205
5,5,64,3.024579560155239
5,5,128,3.1125485122897802
10,5,1,3.144890038809832
10,5,2,2.7490297542043987
10,5,4,2.7477360931435966
10,5,8,2.9909443725743854
10,5,16,3.128072445019405
10,5,32,3.1371280724450195
10,5,64,3.1565329883570503
10,5,128,3.1733505821474774
15,5,1,3.1216041397153944
15,5,2,2.813712807244502
15,5,4,2.8745148771021993
15,5,8,3.1228978007761965
15,5,16,3.1759379042690816
15,5,32,3.166882276843467
15,5,64,3.186287192755498
15,5,128,3.129366106080207
20,5,1,3.216041397153946
20,5,2,2.8783958602846056
20,5,4,2.9159120310478657
20,5,8,3.091849935316947
20,5,16,3.1164294954721865
20,5,32,3.1914618369987062
20,5,64,3.1384217335058215
20,5,128,3.109961190168176
0,5,1,3.1720569210866754
0,5,2,2.500646830530401
0,5,4,2.0996119016817594
0,5,8,1.8783958602846054
0,5,16,1.7917205692108666
0,5,32,1.7813712807244502
0,5,64,1.7813712807244502
0,5,128,1.7813712807244502
2,5,1,3.2095730918499354
2,5,2,2.4890038809831823
2,5,4,2.0646830530401035
2,5,8,1.8641655886157826
2,5,16,1.8085381630012936
2,5,32,1.8007761966364813
2,5,64,1.8085381630012936
2,5,128,1.8124191461836998
5,5,1,3.1565329883570503
5,5,2,2.59379042690815
5,5,4,2.320827943078913
5,5,8,2.3803363518758087
5,5,16,2.5782664941785254
5,5,32,2.855109961190168
5,5,64,2.9896507115135833
5,5,128,3.0983182406209573
10,5,1,3.142302716688228
10,5,2,2.7878395860284604
10,5,4,2.736093143596378
10,5,8,2.941785252263907
10,5,16,3.1021992238033635
10,5,32,3.1733505821474774
10,5,64,3.0789133247089264
10,5,128,3.165588615782665
15,5,1,3.165588615782665
15,5,2,2.811125485122898
15,5,4,2.9197930142302715
15,5,8,3.133247089262613
15,5,16,3.108667529107374
15,5,32,3.131953428201811
15,5,64,3.1940491591203104
15,5,128,3.1759379042690816
20,5,1,3.1164294954721865
20,5,2,2.905562742561449
20,5,4,2.9831824062095733
20,5,8,3.169469598965071
20,5,16,3.1914618369987062
20,5,32,3.1720569210866754
20,5,64,3.15006468305304
20,5,128,3.14359637774903
0,5,1,3.1358344113842174
0,5,2,2.5291073738680465
0,5,4,2.1047865459249677
0,5,8,1.8667529107373868
0,5,16,1.7865459249676585
0,5,32,1.7813712807244502
0,5,64,1.7813712807244502
0,5,128,1.7813712807244502
2,5,1,3.168175937904269
2,5,2,2.5058214747736094
2,5,4,2.069857697283312
2,5,8,1.8822768434670116
2,5,16,1.8020698576972833
2,5,32,1.815006468305304
2,5,64,1.8240620957309186
2,5,128,1.8098318240620956
5,5,1,3.221216041397154
5,5,2,2.5666235446313066
5,5,4,2.318240620957309
5,5,8,2.36869340232859
5,5,16,2.5692108667529108
5,5,32,2.7878395860284604
5,5,64,2.9379042690815007
5,5,128,3.0815006468305306
10,5,1,3.2108667529107375
10,5,2,2.6959896507115135
10,5,4,2.688227684346701
10,5,8,2.9469598965071153
10,5,16,3.130659767141009
10,5,32,3.1552393272962482
10,5,64,3.168175937904269
10,5,128,3.1009055627425615
15,5,1,3.130659767141009
15,5,2,2.811125485122898
15,5,4,2.8758085381630014
15,5,8,3.107373868046572
15,5,16,3.1707632600258733
15,5,32,3.164294954721863
15,5,64,3.1836998706338937
15,5,128,3.1707632600258733
20,5,1,3.201811125485123
20,5,2,2.8615782664941785
20,5,4,2.9598965071151357
20,5,8,3.0892626131953427
20,5,16,3.131953428201811
20,5,32,3.1384217335058215
20,5,64,3.1267787839586028
20,5,128,3.1630012936610608
0,5,1,3.131953428201811
0,5,2,2.486416558861578
0,5,4,2.0892626131953427
0,5,8,1.888745148771022
0,5,16,1.7839586028460543
0,5,32,1.7813712807244502
0,5,64,1.7813712807244502
0,5,128,1.7813712807244502
2,5,1,3.1733505821474774
2,5,2,2.5058214747736094
2,5,4,2.107373868046572
2,5,8,1.8783958602846054
2,5,16,1.8033635187580854
2,5,32,1.7994825355756792
2,5,64,1.8072445019404917
2,5,128,1.8020698576972833
5,5,1,3.1254851228978007
5,5,2,2.570504527813713
5,5,4,2.3234152652005173
5,5,8,2.3803363518758087
5,5,16,2.609314359637775
5,5,32,2.8033635187580854
5,5,64,2.966364812419146
5,5,128,3.0659767141009056
10,5,1,3.2302716688227684
10,5,2,2.727037516170763
10,5,4,2.7542043984476066
10,5,8,2.9935316946959896
10,5,16,3.1487710219922382
10,5,32,3.152652005174644
10,5,64,3.1746442432082795
10,5,128,3.190168175937904
15,5,1,3.182406209573092
15,5,2,2.8227684346701163
15,5,4,2.9314359637774903
15,5,8,3.1009055627425615
15,5,16,3.142302716688228
15,5,32,3.178525226390686
15,5,64,3.165588615782665
15,5,128,3.166882276843467
20,5,1,3.133247089262613
20,5,2,2.9120310478654594
20,5,4,2.9676584734799483
20,5,8,3.1384217335058215
20,5,16,3.165588615782665
20,5,32,3.178525226390686
20,5,64,3.1733505821474774
20,5,128,3.166882276843467
0,5,1,3.275549805950841
0,5,2,2.5109961190168177
0,5,4,2.0983182406209573
0,5,8,1.8771021992238033
0,5,16,1.7943078913324708
0,5,32,1.7813712807244502
0,5,64,1.7813712807244502
0,5,128,1.7813712807244502
2,5,1,3.1720569210866754
2,5,2,2.501940491591203
2,5,4,2.091849935316947
2,5,8,1.8939197930142302
2,5,16,1.8085381630012936
2,5,32,1.7943078913324708
2,5,64,1.815006468305304
2,5,128,1.813712807244502
5,5,1,3.1707632600258733
5,5,2,2.5834411384217333
5,5,4,2.36869340232859
5,5,8,2.40620957309185
5,5,16,2.574385510996119
5,5,32,2.834411384217335
5,5,64,2.978007761966365
5,5,128,3.1009055627425615
10,5,1,3.1720569210866754
10,5,2,2.742561448900388
10,5,4,2.702457956015524
10,5,8,2.950840879689521
10,5,16,3.153945666235446
10,5,32,3.1707632600258733
10,5,64,3.1384217335058215
10,5,128,3.214747736093144
15,5,1,3.1371280724450195
15,5,2,2.798188874514877
15,5,4,2.8965071151358344
15,5,8,3.091849935316947
15,5,16,3.1487710219922382
15,5,32,3.1630012936610608
15,5,64,3.168175937904269
15,5,128,3.165588615782665
20,5,1,3.1578266494178524
20,5,2,2.8783958602846056
20,5,4,2.9003880983182406
20,5,8,3.165588615782665
20,5,16,3.186287192755498
20,5,32,3.240620957309185
20,5,64,3.147477360931436
20,5,128,3.1953428201811125
0,5,1,3.1759379042690816
0,5,2,2.479948253557568
0,5,4,2.0879689521345406
0,5,8,1.8913324708926262
0,5,16,1.7891332470892627
0,5,32,1.7813712807244502
0,5,64,1.7813712807244502
0,5,128,1.7813712807244502
2,5,1,3.203104786545925
2,5,2,2.4825355756791723
2,5,4,2.1151358344113844
2,5,8,1.8809831824062095
2,5,16,1.8124191461836998
2,5,32,1.8059508408796896
2,5,64,1.7994825355756792
2,5,128,1.8111254851228977
5,5,1,3.1241914618369986
5,5,2,2.5536869340232857
5,5,4,2.3298835705045278
5,5,8,2.4126778783958605
5,5,16,2.591203104786546
5,5,32,2.799482535575679
5,5,64,2.9676584734799483
5,5,128,3.0996119016817594
10,5,1,3.168175937904269
10,5,2,2.7697283311772316
10,5,4,2.702457956015524
10,5,8,2.9831824062095733
10,5,16,3.0776196636481243
10,5,32,3.151358344113842
10,5,64,3.2069857697283313
10,5,128,3.169469598965071
15,5,1,3.1034928848641656
15,5,2,2.847347994825356
15,5,4,2.8745148771021993
15,5,8,3.0439844760672705
15,5,16,3.1267787839586028
15,5,32,3.1604139715394566
15,5,64,3.144890038809832
15,5,128,3.2095730918499354
20,5,1,3.1384217335058215
20,5,2,2.8861578266494177
20,5,4,2.8848641655886156
20,5,8,3.059508408796895
20,5,16,3.165588615782665
20,5,32,3.186287192755498
20,5,64,3.129366106080207
